1,2,3,4,5,6,7,8,9,10,Prg,Total1,Total2,Year,Month,Pass/Fail
2,1,3,3,2,1,0,3,1,0,N,12,4,2022,3,P
2,1,0,0,0,0,0,0,0,0,V,3,0,2022,3,U
2,1,0,0,1,2,0,0,0,0,V,6,0,2022,3,U
2,2,3,1,0,2,0,0,0,0,V,10,0,2022,3,P
2,1,0,0,0,0,0,0,0,0,C,3,0,2022,3,U
3,3,3,3,3,3,3,1,0,0,N,18,4,2022,3,P
3,1,3,3,3,1,0,0,0,0,N,14,0,2022,3,P
3,3,3,3,3,3,3,3,1,0,B,18,7,2022,3,P
3,2,1,1,0,1,1,3,0,0,K,8,4,2022,3,U
2,0,3,1,0,2,0,0,0,0,I,8,0,2022,3,U
2,1,3,2,2,0,0,0,0,0,B,10,0,2022,3,P
3,3,3,3,3,1,0,3,0,0,K,16,3,2022,3,P
1,1,1,0,0,2,0,0,0,0,B,5,0,2022,3,U
2,3,3,3,3,2,2,0,0,0,B,16,2,2022,3,P
1,0,0,0,0,0,0,0,0,0,V,1,0,2022,3,U
3,2,3,0,0,1,0,0,0,0,L,9,0,2022,3,U
2,2,3,3,3,3,0,0,0,0,B,16,0,2022,3,P
3,1,3,3,2,2,0,0,0,0,B,14,0,2022,3,P
2,1,1,0,3,0,0,0,0,0,N,7,0,2022,3,U
1,0,1,0,3,1,0,0,0,0,E,6,0,2022,3,U
0,1,1,0,0,1,0,0,0,0,N,3,0,2022,3,U
2,1,3,3,0,2,0,0,0,0,V,11,0,2022,3,P
2,1,3,3,0,2,0,0,0,0,V,11,0,2022,3,P
1,2,3,3,3,1,2,0,0,0,E,13,2,2022,3,P
3,1,3,3,3,2,0,0,1,0,B,15,1,2022,3,P
3,0,3,3,3,2,3,0,1,0,W,14,4,2022,3,P
3,1,3,3,2,2,3,0,1,0,L,14,4,2022,3,P
0,1,0,0,0,0,0,0,0,0,Bi,1,0,2022,3,U
2,1,1,3,0,2,0,0,0,0,L,9,0,2022,3,P
1,1,2,0,0,1,0,0,0,0,E,5,0,2022,3,U
1,1,1,1,0,1,0,0,0,0,E,5,0,2022,3,U
3,1,3,3,3,2,0,0,0,0,W,15,0,2022,3,P
1,0,1,0,0,1,0,0,0,0,K,3,0,2022,3,U
2,1,0,0,3,1,0,0,0,0,C,7,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,Bi,0,0,2022,3,U
2,1,3,0,3,0,0,0,0,0,L,9,0,2022,3,U
3,3,3,2,3,2,0,1,0,0,W,16,1,2022,3,P
1,0,0,1,3,0,0,0,0,0,E,5,0,2022,3,U
